# Curated everyday foods and dishes — the friendly half of the catalogue, so a search for
# "manzana", "café solo" or "canelones" lands on one clean entry instead of a wall of
# USDA descriptors. Hand-entered, Spanish-first.
#
# Format:  es | en | category | basis | kcal | protein_g | carb_g | fat_g
#   basis 'g'       -> values are per 100 g / 100 ml, logged in grams
#   basis 'serving' -> values are for one typical portion (a cup, a unit, a plate), logged x1/x2…
# Composite-dish figures are approximate by nature. Categories must be one of the slugs in
# scripts/build-foods.mjs (CAT values).

# --- fruit (one piece) ---
Manzana|Apple|fruit|serving|95|0.5|25|0.3
Plátano|Banana|fruit|serving|105|1.3|27|0.4
Naranja|Orange|fruit|serving|86|1.7|21|0.2
Mandarina|Mandarin|fruit|serving|47|0.7|12|0.3
Pera|Pear|fruit|serving|101|0.6|27|0.2
Kiwi|Kiwi|fruit|serving|42|0.8|10|0.4
Fresas (un puñado)|Strawberries (handful)|fruit|serving|32|0.7|7.7|0.3
Uvas (un puñado)|Grapes (handful)|fruit|serving|70|0.7|18|0.2
Melocotón|Peach|fruit|serving|59|1.4|14|0.4
Ciruela|Plum|fruit|serving|30|0.5|8|0.2
Aguacate (medio)|Avocado (half)|fruit|serving|160|2|9|15
Sandía (una tajada)|Watermelon (slice)|fruit|serving|85|1.7|21|0.4

# --- drinks ---
Café solo|Espresso|beverage|serving|3|0.1|0.5|0
Café con leche|Coffee with milk|beverage|serving|60|3|5|3
Cortado|Cortado|beverage|serving|25|1.4|2|1.4
Café con leche desnatada|Coffee with skim milk|beverage|serving|35|3.2|5|0.3
Té|Tea|beverage|serving|2|0|0.4|0
Infusión|Herbal tea|beverage|serving|2|0|0.4|0
Cacao con leche|Cocoa with milk|beverage|serving|170|7|24|5
Zumo de naranja natural|Fresh orange juice|beverage|serving|90|1.4|21|0.4
Refresco de cola|Cola soft drink|beverage|serving|140|0|39|0
Refresco de cola zero|Cola zero|beverage|serving|1|0|0|0
Cerveza (caña)|Beer (small)|beverage|serving|90|1|7|0
Cerveza (tercio)|Beer (bottle)|beverage|serving|145|1.5|12|0
Vino tinto (copa)|Red wine (glass)|beverage|serving|100|0.1|3|0
Batido de proteínas|Protein shake|beverage|serving|170|30|8|3

# --- breakfast / bakery ---
Tostada con aceite|Toast with olive oil|grain|serving|150|3|18|7
Pan con tomate|Bread with tomato|grain|serving|180|4|28|6
Croissant|Croissant|grain|serving|240|5|26|12
Napolitana de chocolate|Chocolate pastry|sweet|serving|340|5|38|18
Magdalena|Muffin (small)|sweet|serving|160|2.5|20|8
Donut|Donut|sweet|serving|260|3|31|14
Galletas María (4 uds)|Marie biscuits (4)|sweet|serving|120|1.8|20|3.5
Cereales de desayuno|Breakfast cereal|grain|g|375|8|80|3
Copos de avena|Rolled oats|grain|g|370|13|60|7
Muesli|Muesli|grain|g|360|9|65|6
Tortitas (2 uds)|Pancakes (2)|grain|serving|220|6|30|8

# --- eggs & simple plates ---
Huevo cocido|Boiled egg|protein|serving|78|6.3|0.6|5.3
Huevos fritos (2)|Fried eggs (2)|protein|serving|200|13|1|16
Tortilla francesa (2 huevos)|Plain omelette (2 eggs)|protein|serving|210|13|1|17
Tortilla de patata (porción)|Spanish omelette (slice)|prepared|serving|270|8|18|18
Revuelto de champiñones|Scrambled eggs with mushrooms|prepared|serving|230|15|3|17

# --- sandwiches ---
Bocadillo de jamón serrano|Serrano ham baguette|prepared|serving|420|22|48|15
Bocadillo de jamón y queso|Ham and cheese baguette|prepared|serving|480|24|48|21
Bocadillo de tortilla|Omelette baguette|prepared|serving|450|15|50|20
Sándwich mixto|Toasted ham and cheese sandwich|prepared|serving|350|18|30|18
Sándwich vegetal|Veggie sandwich|prepared|serving|330|12|38|14

# --- rice & pasta dishes ---
Canelones|Cannelloni (portion)|prepared|serving|450|18|40|24
Lasaña|Lasagna (portion)|prepared|serving|400|20|35|20
Macarrones con tomate|Pasta with tomato sauce|prepared|serving|480|15|75|12
Espaguetis a la boloñesa|Spaghetti bolognese|prepared|serving|520|22|65|18
Espaguetis carbonara|Spaghetti carbonara|prepared|serving|600|22|65|28
Paella|Paella (portion)|prepared|serving|560|24|65|20
